SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(f)
8207,Falkland Is,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0
8211,Guyana,10,10,10,10,10,20,10,10,30,10,10,20,30,10,10,10,10,10,10
8212,Paraguay,10,10,10,10,10,10,10,10,10,20,20,20,10,30,40,30,20,20,20
8213,Peru,130,130,130,180,290,290,290,290,270,290,340,330,320,260,330,330,160,300,230
8214,Suriname,0,10,0,10,10,10,0,0,0,0,0,10,0,0,10,0,0,0,0
8215,Uruguay,110,110,80,110,100,80,100,90,100,80,90,80,80,100,140,170,110,140,100
8216,Venezuela,90,70,70,80,80,80,110,130,160,200,180,190,210,300,240,170,120,220,130
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,Belize,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
8302,Costa Rica,10,20,10,30,20,20,20,20,50,30,30,30,30,40,30,30,20,20,20
8303,El Salvador,80,80,60,70,80,50,70,50,50,70,70,80,70,60,90,40,30,50,60
8304,Guatemala,10,0,10,10,20,20,10,10,20,20,20,40,10,20,30,20,40,10,10
8305,Honduras,10,0,0,10,10,10,10,10,0,10,10,30,10,10,10,10,0,10,0
8306,Mexico,190,240,220,230,380,270,310,280,390,390,320,380,390,430,460,560,300,360,290
8307,Nicaragua,20,10,10,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20
8308,Panama,10,10,20,10,20,10,10,10,20,10,20,20,10,10,20,10,10,20,10
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404,Bahamas,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10
8405,Barbados,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10
8406,Cayman Islands,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10
8407,Cuba,0,10,20,20,40,10,20,20,20,30,30,30,30,30,40,30,10,20,30
8408,Dominica,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Dominican Rep,10,10,0,10,10,10,10,20,30,10,20,20,10,20,20,20,10,20,10
8412,Grenada,10,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0
8413,Guadeloupe,0,0,0,0,0,10,0,10,0,0,10,10,10,10,10,10,0,0,0
8414,Haiti,0,10,10,10,10,10,10,0,10,10,10,10,0,0,10,10,10,10,0
8415,Jamaica,20,20,30,40,40,30,30,30,40,30,30,60,40,40,50,40,30,20,30
8416,Martinique,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0
8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,Puerto Rico,10,10,0,10,60,10,10,10,10,10,20,10,20,20,30,30,10,10,20
8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8423,St Lucia,0,0,0,0,0,0,10,0,0,10,10,0,10,0,0,0,0,0,0
8424,St Vinc/Grenad,0,0,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0
8425,Trinidad/Tobago,30,20,30,40,40,30,30,40,50,40,50,70,50,30,40,20,20,20,20
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,"Virgin Is, US",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,Curacao,0,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,0,0,0
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0
9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,Cameroon,10,10,10,10,10,10,10,10,20,20,30,30,20,30,10,20,10,10,20
9104,Cabo Verde,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107,"Congo, Rep",10,10,20,10,10,20,10,10,10,20,10,20,20,10,20,30,20,20,20
9108,"Congo, Dem Rep",10,10,10,20,10,20,20,20,10,20,20,30,20,30,30,30,20,30,30
9111,Cote d'Ivoire,10,10,10,10,10,10,10,10,20,10,10,10,10,20,20,10,10,20,10
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113,Gabon,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
9114,Gambia,0,0,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,0,0
9115,Ghana,90,60,70,70,50,70,80,80,100,120,110,140,150,140,120,170,190,150,100
9116,Guinea,0,0,0,0,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118,Liberia,0,10,10,20,20,20,20,20,30,20,30,50,20,20,30,40,20,20,20
9121,Mali,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
9122,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9123,Niger,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0
9124,Nigeria,120,80,90,110,100,120,80,110,140,150,210,200,170,200,280,260,320,240,230
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,Senegal,10,20,10,10,10,10,10,20,10,10,20,10,20,10,10,20,10,0,10
9127,Sierra Leone,10,20,10,30,20,20,20,30,30,40,30,40,40,30,40,50,30,20,40
9128,Togo,0,0,0,0,0,0,0,0,0,10,0,10,0,10,10,0,10,0,10
9201,Angola,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10
9202,Botswana,120,200,180,110,130,120,120,70,70,60,80,60,50,40,40,30,50,40,20
9203,Burundi,0,0,0,0,10,0,0,10,10,10,10,10,0,10,10,20,20,20,20
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
9206,Eritrea,20,30,30,30,20,40,30,30,20,20,30,30,20,20,40,50,20,40,40
9207,Ethiopia,50,70,80,110,90,90,80,120,100,140,140,150,130,120,170,230,130,170,200
9208,Kenya,340,330,320,300,320,350,360,370,340,400,370,380,370,370,430,400,340,350,330
9211,Lesotho,0,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0
9212,Madagascar,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10
9213,Malawi,30,30,50,40,30,30,40,40,60,60,70,40,30,30,50,40,40,20,10
9214,Mauritius,240,220,220,220,350,590,640,470,440,450,390,370,340,390,430,370,310,290,290
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9216,Mozambique,30,40,60,50,30,50,30,40,30,50,20,30,30,30,30,40,40,20,20
9217,Namibia,20,20,30,20,40,40,30,20,30,40,40,20,30,20,20,20,20,20,30
9218,Reunion,10,10,10,20,20,20,30,10,20,20,20,20,20,30,30,20,10,10,10
9221,Rwanda,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,0,10,10
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223,Seychelles,50,60,50,80,40,70,40,40,40,60,30,40,30,30,30,40,20,20,20
9224,Somalia,100,120,120,110,130,160,170,170,130,190,170,170,190,220,230,270,210,220,230
9225,South Africa,1900,1940,1900,1980,2090,2460,2280,2280,2210,2530,2470,2370,2260,2240,2080,1510,1230,1820,1810
9226,Eswatini,10,10,10,10,10,10,20,10,10,30,10,20,20,10,10,20,10,10,0
9227,Tanzania,50,70,60,70,70,80,90,70,90,90,90,100,90,90,80,70,60,60,50
9228,Uganda,60,50,40,50,50,70,50,60,60,80,60,80,90,50,70,50,30,50,60
9231,Zambia,170,140,130,120,180,190,180,140,200,210,220,180,130,100,140,110,100,100,80
9232,Zimbabwe,360,360,420,390,430,550,580,470,480,440,510,450,440,510,440,370,380,410,360
9299,"S & E Afr, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000,Inadequately Described,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
